#nid    type    x   y   demand  tw_open tw_close    service
0 0 2 3 800 0 1440 0
1 0 2 2 800 0 1440 0
2 0 2 1 800 0 1440 0
3 1 0 0 0 0 1440 20
4 1 1 2 0 0 1440 20
5 2 3 3 100 0 1440 10
6 2 3 2 100 0 1440 10
7 2 3 1 100 0 1440 10
8 2 4 3 100 0 1440 10
9 2 4 2 100 0 1440 10
10 2 4 1 100 0 1440 10
11 2 5 3 100 0 1440 10
12 2 5 2 100 0 1440 10
13 2 5 1 100 0 1440 10
14 2 6 2 100 0 1440 10
15 2 6 2 100 0 1440 10
16 2 6 2 100 0 1440 10
17 2 6 5 100 0 1440 10
18 2 6 5 100 0 1440 10
19 2 6 5 100 0 1440 10
20 2 1 5 100 0 1440 10
21 2 1 5 100 0 1440 10
22 2 1 5 100 0 1440 10
