#  ndepot: 63
#   ndump: 6
# npickup: 5000
#
# trash collection test problem
#
# type: 0:  vehicle
#       1:  dump
#       2:  pickup
#
# For vehicles:
#   demand - is vehicle capcity
#   x,y - vehicle home location
#   tw_open - start time for the vehicle
#   tw_close - time vechile must be home
#   service - NA
#
# For dump facilities:
#   demand - NA
#   x,y - location of the dump
#   tw_open - time dump opens
#   tw_close - time dump closes
#   service - time to service the dump
#
# For pickup locations
#   demand - potential load to add to vehicle
#   x,y - location of pickup
#   tw_open - earliest pickup time
#   tw_close - latest pickup time
#   service - time to service the pickup
#
# Times are in minutes from 0 hour (mid-night)
#
#nid    type    x       y       demand  tw_open tw_close        service
0 0 -63.3650824280259 84.5407838648441 10000 0 1440 0
1 0 19.9082907831574 49.01082172927 10000 0 1440 0
2 0 -3.23993388791095 -81.1068701586947 10000 0 1440 0
3 0 -60.0822273834019 8.1736945163513 10000 0 1440 0
4 0 76.7079201509496 79.1024131818176 10000 0 1440 0
5 0 -17.6347082448423 1.97367127793342 10000 0 1440 0
6 0 36.833782267238 -31.8945178598796 10000 0 1440 0
7 0 84.0965148207935 -39.1243085090323 10000 0 1440 0
8 0 -74.316134495745 6.94083527178577 10000 0 1440 0
9 0 81.802832580879 65.3003662040661 10000 0 1440 0
10 0 -19.5604961231048 87.0615142958826 10000 0 1440 0
11 0 39.2017360383129 -14.3446706271519 10000 0 1440 0
12 0 15.3538075130605 1.93328779392914 10000 0 1440 0
13 0 -32.1678567022708 36.4166705675487 10000 0 1440 0
14 0 -62.2178638980039 90.8496919845362 10000 0 1440 0
15 0 79.1255143812684 -93.1155256022649 10000 0 1440 0
16 0 -42.0625420744493 87.9914725953483 10000 0 1440 0
17 0 7.04704453651388 87.0172842353114 10000 0 1440 0
18 0 -88.3451094918733 25.5692816683421 10000 0 1440 0
19 0 93.9558713545857 43.8909633345631 10000 0 1440 0
20 0 -94.4219546628965 -80.2645625197556 10000 0 1440 0
21 0 -75.6768703019738 -3.53924225317286 10000 0 1440 0
22 0 47.2597856777817 3.27846713678639 10000 0 1440 0
23 0 49.1109035260017 85.1891850074466 10000 0 1440 0
24 0 -69.6967842645897 44.4933323077123 10000 0 1440 0
25 0 86.1177176984846 -81.3805070659996 10000 0 1440 0
26 0 14.0817138016281 94.7460015089149 10000 0 1440 0
27 0 -32.773751758527 9.1326665173753 10000 0 1440 0
28 0 -58.3788359363375 78.9436898087729 10000 0 1440 0
29 0 -18.3395311380572 71.0581203110749 10000 0 1440 0
30 0 -33.6202060481035 27.3269513377187 10000 0 1440 0
31 0 -74.8884427858805 60.2721114292407 10000 0 1440 0
32 0 -36.9772512450702 -59.2128059867321 10000 0 1440 0
33 0 -11.4113809622019 77.7963567501857 10000 0 1440 0
34 0 -51.4137047589735 85.4784019571952 10000 0 1440 0
35 0 -70.6192856851722 -38.7898503101795 10000 0 1440 0
36 0 74.0119036908546 79.1552116772436 10000 0 1440 0
37 0 -28.5051504784782 -54.4547405418186 10000 0 1440 0
38 0 12.879975568692 17.87630571271 10000 0 1440 0
39 0 -63.1004036073598 -83.4981284576557 10000 0 1440 0
40 0 90.8882245377875 -92.9673253985527 10000 0 1440 0
41 0 55.0198728567374 8.18860477034065 10000 0 1440 0
42 0 98.4272441603288 -82.2100327847153 10000 0 1440 0
43 0 -80.0157615469466 -51.8419697967332 10000 0 1440 0
44 0 -92.6428310865099 -45.2067867684377 10000 0 1440 0
45 0 37.5358770967715 35.4139327766077 10000 0 1440 0
46 0 85.2611186002925 -37.6840277395644 10000 0 1440 0
47 0 -58.678672977647 91.5656105668731 10000 0 1440 0
48 0 -54.8551276624714 36.0147544308063 10000 0 1440 0
49 0 -32.8689663961974 68.7806112959734 10000 0 1440 0
50 0 -19.5054904372306 -28.7313204478124 10000 0 1440 0
51 0 99.8720080261073 -23.8517262966596 10000 0 1440 0
52 0 -24.8538555815166 -54.935891184482 10000 0 1440 0
53 0 -11.480664036268 22.1450852146248 10000 0 1440 0
54 0 -79.4590710564329 -22.0302931271107 10000 0 1440 0
55 0 -63.4409419900528 -83.1530005841174 10000 0 1440 0
56 0 61.235772231101 90.5093855443567 10000 0 1440 0
57 0 87.6641000949029 63.2462897034898 10000 0 1440 0
58 0 -19.7577204040918 -8.12584416054563 10000 0 1440 0
59 0 47.3265300307553 50.5090616226013 10000 0 1440 0
60 0 -48.2751796634879 9.2393849517407 00001 0 1440 0
61 0 10.3175181287916 79.3870183308016 00001 0 1440 0
62 0 68.2799473733532 76.9166318866525 00001 0 1440 0
63 1 41.2000480463909 65.531283828669 0 0 1440 30
64 1 97.5451793986402 -96.7605680838517 0 0 1440 30
65 1 11.3427211407974 -77.4701504146933 0 0 1440 30
66 1 57.9719786829777 -30.3445713819229 0 0 1440 30
67 1 2.26498613207511 93.6113344544694 0 0 1440 30
68 1 11.5971778499279 -5.70657464609212 0 0 1440 30
69 2 3.59886830925333 27.7590478257437 100 0 1440 5
70 2 -46.4643107480718 -82.2614418345864 100 0 1440 5
71 2 67.0188313515602 -40.7813657146804 100 0 1440 5
72 2 -99.703366440496 1.4521917291006 100 0 1440 5
73 2 -81.6661574192132 3.94266717221541 100 0 1440 5
74 2 -75.8783876895187 31.9106216966333 100 0 1440 5
75 2 12.3430916112106 15.4042608083998 100 0 1440 5
76 2 -3.79071504308328 11.9285429702018 100 0 1440 5
77 2 63.443195420151 -93.4381006449186 100 0 1440 5
78 2 51.4012568947329 13.724826713738 100 0 1440 5
79 2 64.3791723251177 33.827046702514 100 0 1440 5
80 2 -0.237896435441343 38.1497516840852 100 0 1440 5
81 2 -28.381954277345 -79.9424809630054 100 0 1440 5
82 2 31.2177094720404 46.3197702806809 100 0 1440 5
83 2 84.8817082193754 62.380882246309 100 0 1440 5
84 2 98.3725523919084 32.0184690580163 100 0 1440 5
85 2 67.318700467316 -99.3239073762922 100 0 1440 5
86 2 45.784674592344 -82.9340801779125 100 0 1440 5
87 2 69.1618991036414 15.5660439105745 100 0 1440 5
88 2 -27.061582855287 62.0034233402578 100 0 1440 5
89 2 49.6748271888599 60.6814290792741 100 0 1440 5
90 2 -19.8538872315076 78.5820356334028 100 0 1440 5
91 2 98.5224609381071 20.7551839002505 100 0 1440 5
92 2 24.4823997022372 -50.4984507100858 100 0 1440 5
93 2 -12.1729291533065 10.9295637612675 100 0 1440 5
94 2 95.0851962886965 -51.4329082569105 100 0 1440 5
95 2 -69.8751339759959 7.76242791176713 100 0 1440 5
96 2 -42.1527741842958 -92.0164885133602 100 0 1440 5
97 2 -44.1109298310245 21.1883787916477 100 0 1440 5
98 2 -11.6021338357619 99.0885642675011 100 0 1440 5
99 2 78.5186086457706 99.6318408713407 100 0 1440 5
100 2 44.6885814810521 31.7548968908341 100 0 1440 5
101 2 -3.37710895009096 -93.7842240211054 100 0 1440 5
102 2 -22.5771640844435 92.4132688990568 100 0 1440 5
103 2 -54.398705006998 39.3193329198525 100 0 1440 5
