#
# trash collection test problem
#
# type: 0:  vehicle
#       1:  dump
#       2:  pickup
#
# For vehicles:
#   demand - is vehicle capcity
#   x,y - vehicle home location
#   tw_open - start time for the vehicle
#   tw_close - time vechile must be home
#   service - NA
#
# For dump facilities:
#   demand - NA
#   x,y - location of the dump
#   tw_open - time dump opens
#   tw_close - time dump closes
#   service - time to service the dump
#
# For pickup locations
#   demand - potential load to add to vehicle
#   x,y - location of pickup
#   tw_open - earliest pickup time
#   tw_close - latest pickup time
#   service - time to service the pickup
#
# Times are in minutes from 0 hour (mid-night)
#
#nid	type	x	y	demand	tw_open	tw_close	service
0	0	-30	20	2000	300	900	0
1	0   35	40	2000	300	900	0
2	0	-25	-10 1500    160	960	0
3	0	15	-25	1500	300	900	0
4	1	-65	-5	0	0	1440	30
5	1	-5	25	0	240	1080	45
6	1	5	-25	0	0	1440	30
7	2	-50	40	110	0	1440	10
8	2	-35	45	110	0	1440	10
9	2	-15	45	110	0	1440	10
10	2	25	55	110	0	1440	10
11	2	55	43	110	0	1440	10
12	2	60	60	110	0	1440	10
13	2	80	55	110	0	1440	10
14	2	-60	20	110	0	1440	10
15	2	-50	25	110	0	1440	10
16	2	-30	30	110	0	1440	10
17	2	-10	35	110	0	1440	10
18	2	5	35	110	0	1440	10
19	2	20	30	110	0	1440	10
20	2	40	22	110	0	1440	10
21	2	70	35	110	0	1440	10
22	2	-65	5	110	0	1440	10
23	2	-45	5	110	0	1440	10
24	2	-20	10	110	0	1440	10
25	2	-20	20	110	0	1440	10
26	2	-5	5	110	0	1440	10
27	2	5	5	110	0	1440	10
28	2	5	15	110	0	1440	10
29	2	15	15	110	0	1440	10
30	2	30	5	90	0	1440	10
31	2	60	12	110	0	1440	10
32	2	-60	-5	110	0	1440	10
33	2	-45	-15	110	0	1440	10
34	2	-35	-5	110	0	1440	10
35	2	-5	-5	110	0	1440	10
36	2	5	-15	110	0	1440	10
37	2	15	-5	110	0	1440	10
38	2	30	-15	110	0	1440	10
39	2	45	-5	110	0	1440	10
40	2	65	-2	110	0	1440	10
41	2	75	-5	110	0	1440	10
42	2	-55	-25	110	0	1440	10
43	2	-30	-25	110	0	1440	10
44	2	-30	-38	110	0	1440	10
45	2	-10	-35	110	0	1440	10
46	2	-10	-25	110	0	1440	10
47	2	25	-30	110	0	1440	10
48	2	45	-30	110	0	1440	10
49	2	75	-30	110	0	1440	10
50	2	-60	-40	110	0	1440	10
51	2	-40	-45	110	0	1440	10
52	2	-15	-45	110	0	1440	10
53	2	5	-42	110	0	1440	10
54	2	30	-42	110	0	1440	10
55	2	55	-42	110	0	1440	10
56	2	80	-45	110	0	1440	10
